Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Flowers for Algernon,Daniel Keyes,"",9780063320222,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
The Fellowship of the Ring,J.R.R. Tolkien,"",9780261103573,paperback,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",Yes
Proven Guilty,Jim Butcher,"",9780356500348,paperback,read,2021/01/27,2021/02/26,2021/01/27-2021/02/26,1,"",,"","","","","",4.0,"","","","",No
Everything is Tuberculosis,John Green,John Green (Narrator),9798217082391,audio,read,2025/03/19,2025/12/08,2025/12/05-2025/12/08,1,"inspiring, reflective, sad",medium,,,,,,4.5,"","","","",No
The Heart of the Nhaga,Lee Young-Do,Anton Hur (Translator),9780063349896,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Sorcerer of the North,John Flanagan,"","",paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Fantastic Four by Waid & Wieringo Omnibus,Mark Waid,"Mike Wieringo (Illustrator), Mark Buckingham (Illustrator)",9781302913823,hardcover,read,2025/02/22,2025/03/10,2025/02/22-2025/03/10,1,"",,,,,,,,,"",,"",No
Dawnshard,Brandon Sanderson,"",9781803361062,hardcover,read,2022/08/16,2022/08/19,2022/08/16-2022/08/19,1,"adventurous, mysterious",fast,Plot,Yes,Yes,No,No,4.5,"","","","",No
Kings of the Wyld,Nicholas Eames,"",9780316362474,paperback,read,2020/06/24,2021/06/29,2021/05/11-2021/06/29,1,"",,,,,,,,,"",,"",Yes
The Icebound Land,John Flanagan,"","",hardcover,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Small Favor,Jim Butcher,"",9780451461896,hardcover,read,2021/06/29,2021/07/08,2021/06/29-2021/07/08,1,"",,"","","","","",4.25,"","","","",No
The Devil and the Dark Water,Stuart Turton,"",9781728206028,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
11/22/63,Stephen King,"",9781451627282,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,time-travel,No
Interview with the Vampire,Anne Rice,Simon Vance (Narrator),9780307914019,audio,read,2025/10/30,2025/11/29,2025/10/30-2025/11/29,1,"dark, mysterious, reflective",medium,Character,Yes,It's complicated,It's complicated,Yes,2.25,<div>Real housewives of Point du Lac</div>,"","","",No
Battle Ground,Jim Butcher,James Marsters (Narrator),9780593343050,audio,read,2021/09/27,2022/03/14,2022/02/22-2022/03/14,1,"emotional, tense",fast,Plot,No,Yes,Yes,Yes,4.5,"","","","",No
Black Mouth,Ronald Malfi,"",9781789098655,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Every Tool's a Hammer: Life Is What You Make It,Adam Savage,"",,,read,2020/07/26,"","",1,"",,,,,,,5.0,,"",,"",No
Yours Truly,Abby Jimenez,"",9781538704394,paperback,read,2024/07/26,2024/07/26,2024/07/26-2024/07/26,1,"emotional, funny, lighthearted",medium,Character,Yes,Yes,No,Yes,4.5,"","","","",Yes
A Crown of Swords,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B000K0YMKE,audio,read,2023/10/09,2023/11/04,2023/10/09-2023/11/04,1,"adventurous, challenging, emotional, tense",medium,Plot,It's complicated,Yes,Yes,Yes,3.0,"","","","",No
Neon Ghosts: A Witch's Sin,Daniel B. Greene,"","",digital,read,2023/12/02,2024/07/23,2024/07/10-2024/07/23,1,"dark, tense",fast,Plot,Yes,No,It's complicated,Yes,3.75,"","","","",Yes
The Glass Hotel,Emily St. John Mandel,"",9780525521143,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Winter's Heart,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",9781427210876,audio,read,2024/01/01,2024/01/23,2024/01/01-2024/01/23,1,"adventurous, emotional, inspiring, tense",medium,A mix,Yes,Yes,Yes,It's complicated,4.5,"","","","",No
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,"",9780008381349,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Will of the Many,James Islington,"",9781982141172,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,magic-school,Yes
Roadside Picnic,"Boris Strugatsky, Arkady Strugatsky","Antonina W. Bouis (Translator), Theodore Sturgeon (Contributor)",9780575070530,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
The Unworthy Thor,Jason Aaron,Olivier Coipel (Illustrator),9781302906672,paperback,read,2022/10/13,"","",1,adventurous,fast,Plot,Yes,Yes,No,Yes,4.25,"","","","",No
Jade City,Fonda Lee,"",9780316440882,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",Yes
Cold Days,Jim Butcher,"",9780451419125,paperback,read,2021/09/27,2021/10/21,2021/10/02-2021/10/21,1,"",,"","","","","",4.25,"","","","",No
The Battle of the Labyrinth,Rick Riordan,"",9780545174817,paperback,read,2016/12/26,"","",0,"",,,,,,,,,"",,"",No
Carrying the Fire: An Astronaut's Journey,Michael Collins,"",9780815410287,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Overdue,Mark Lawrence,"","",digital,read,2024/04/09,2024/04/10,2024/04/09-2024/04/10,1,"mysterious, reflective",slow,Plot,Yes,Yes,No,No,3.75,"","","","",No
Berserk Deluxe Volume 1,Kentaro Miura,"Jason Deangelis (Translator), Duane Johnson (Translator)",9781506711980,hardcover,read,2024/01/22,2024/01/24,2024/01/22-2024/01/24,1,"dark, tense",fast,Plot,No,No,No,Yes,3.75,"","","","",Yes
