Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Forgetting Moon,Brian Lee Durfee,"",9781481465229,hardcover,"","","","","","","","","","","","","","","","",epic,No
Mother of Learning: ARC 1,"Domagoj Kurmaić, nobody103","","",digital,"","","","","","","","","","","","","","","","",progression-fantasy,No
Purple and Black,K.J. Parker,"",9781596062412,hardcover,"","","","","","","","","","","","","","","","",competence,No
The Price of Power ,Michael Michel,"",B0BNXYDVZT,digital,"","","","","","","","","","","","","","","","","self-pub, military",No
Count Zero,William Gibson,"",9781473217409,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Burning Chrome,William Gibson,"John Shirley, Bruce Sterling, Michael Swanwick",9780060539825,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Rendezvous with Rama,Arthur C. Clarke,"",9781857231588,paperback,"","","","","","","","","","","","","","","","",first-contact,No
Theft of Swords,Michael J. Sullivan,"",,paperback,"","","","","","","","","","","","","","","","",heist,Yes
The Complete Robot,Isaac Asimov,"","",digital,"","","","","","","","","","","","","","","","",near-future,No
A Drowned Kingdom,P.L. Stuart,"",9781525589317,paperback,"","","","","","","","","","","","","","","","",self-pub,No
Way of the Wizard,Michael Michel,"",B0CZ96FTV9,digital,"","","","","","","","","","","","","","","","","self-pub, epic",No
Thrill Switch,Tim Hawken,"",9780645579109,paperback,"","","","","","","","","","","","","","","","","self-pub, cyberpunk",No
A Deadly Education,Naomi Novik,"",B084L85MZ7,digital,"","","","","","","","","","","","","","","","",magic-school,No
Altered Carbon,Richard K. Morgan,"",9780575081246,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Dragon Rider,Taran Matharu,"",9780008517632,hardcover,"","","","","","","","","","","","","","","","",dragon-rider,No
The Bartender Between Worlds,Herman Steuernagel,"",9781990505195,paperback,"","","","","","","","","","","","","","","","",self-pub,No
Dead Things,Stephen Blackmoore,"",,digital,"","","","","","","","","","","","","","","","",urban-fantasy,No
The Rage of Dragons,Evan Winter,"",B07NJC4HFM,digital,"","","","","","","","","","","","","","","","",military,Yes
The Winds of War,Mosha Winter,"",B0F9SCV4CJ,digital,"","","","","","","","","","","","","","","","",self-pub,No
Knightmare Arcanist,Shami Stovall,"",9780998045221,paperback,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",Yes
Legacy of the Brightwash,Krystle Matar,"",9781777479206,paperback,"","","","","","","","","","","","","","","","","self-pub, urban-fantasy",No
The Umbral Storm,Alec Hutson,"",9781734257458,paperback,"","","","","","","","","","","","","","","","","self-pub, litrpg",No
Malice,John Gwynne,"",9780330545754,paperback,"","","","","","","","","","","","","","","","",epic,No
Cage of Souls,Adrian Tchaikovsky,"",9781788547383,paperback,"","","","","","","","","","","","","","","","",post-apocalyptic,No
Timeline,Michael Crichton,"",0345417623,paperback,"","","","","","","","","","","","","","","","",time-travel,No
We Are Legion (We Are Bob),Dennis E. Taylor,"",9781680680324,paperback,"","","","","","","","","","","","","","","","",space-opera,No
Starship Troopers,Robert A. Heinlein,"","",paperback,"","","","","","","","","","","","","","","","",military,No
Battle Angel Alita Vol. 1: Rusty Angel,Yukito Kishiro,"Rachel Thorn (Translator), Fred Burke (Translator), Sterling Bell (Translator)",9781569310038,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Temeraire,Naomi Novik,"",9780007258710,paperback,"","","","","","","","","","","","","","","","",dragon-rider,No
The Beast Hunters,Christer Lende,"",9788269215038,digital,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",No
Of Thieves and Shadows,B.S.H. Garcia,"",9798986720814,digital,"","","","","","","","","","","","","","","","",self-pub,No
More Lore From The Mythos,"Aaron White, Edward Morris, Valerie Lioudis","",9781733523950,paperback,"","","","","","","","","","","","","","","","","self-pub, cosmic-horror, short-stories, horror",No
Priest of Bones,Peter McLean,"",9780451490216,paperback,"","","","","","","","","","","","","","","","","self-pub, grimdark",No
"Tokyo Ghost, Vol. 1: Atomic Garden",Rick Remender,Sean Gordon Murphy (Illustrator),9781632156631,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Climbing the Ranks,Tao Wong,"",9781778551369,paperback,"","","","","","","","","","","","","","","","",progression-fantasy,No
The Grace of Kings,Ken Liu,"","",digital,"","","","","","","","","","","","","","","","",epic,No
Into the Labyrinth,John Bierce,"",B07J675X2C,digital,"","","","","","","","","","","","","","","","","self-pub, magic-school, progression-fantasy",Yes
A Memory Called Empire,Arkady Martine,"",9781250186454,digital,"","","","","","","","","","","","","","","","","competence, space-opera",No
Sky's End,Marc J Gregson,"",9781682635766,hardcover,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",No
A Breaking of Realms,Jasmine Young,"","",digital,"","","","","","","","","","","","","","","","","self-pub, dragon-rider",No
Eleventh Cycle,Kian N. Ardalan,"",B0BD7T5WRL,digital,"","","","","","","","","","","","","","","","","self-pub, grimdark",No
The Winds of Winter,George R.R. Martin,"","",hardcover,"","","","","","","","","","","","","","","","","political-intrigue, dragon-rider, epic",No
Shattered Spirits: The Fall of Ishcairn,Cal Black,"",1778071791,digital,"","","","","","","","","","","","","","","","",cosmic-horror,No
Asunder,Kerstin Hall,"",9781250625427,digital,"","","","","","","","","","","","","","","","",cosmic-horror,No
Design of Darkness,R.D. Pires,"",9781956037364,digital,"","","","","","","","","","","","","","","","",self-pub,No
An Altar on the Village Green,Nathan Hall,"",B094G8M5BG,digital,"","","","","","","","","","","","","","","","","self-pub, cosmic-horror",No
Ghost in the Shell Volume 1 2nd edition TPB,Shirow Masamune,"",9781593072285,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
The Space Between Worlds,Micaiah Johnson,"",9780593135051,hardcover,"","","","","","","","","","","","","","","","",time-travel,No
The Jasmine Throne,Tasha Suri,"",9780356515649,paperback,"","","","","","","","","","","","","","","","",non-western-fantasy,No
Moon Called,Patricia Briggs,"",9780441013814,paperback,"","","","","","","","","","","","","","","","",urban-fantasy,No
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,"",9780062963505,hardcover,"","","","","","","","","","","","","","","","",sailing,No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765382030,paperback,"","","","","","","","","","","","","","","","","competence, first-contact",Yes
The Last Ranger,J.D.L. Rosell,"",9781952868184,digital,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",No
The Wickwire Watch,Jacquelyn Hagen,"",9781958853009,paperback,"","","","","","","","","","","","","","","","","urban-fantasy, political-intrigue",No
Nicked,M.T. Anderson,"",9780593701607,hardcover,"","","","","","","","","","","","","","","","",heist,No
The Raven Scholar,Antonia Hodgson,"",9781529339888,digital,"","","","","","","","","","","","","","","","",mystery,No
Sons of Darkness,Gourav Mohanty,"",B09YS3H8HK,digital,"","","","","","","","","","","","","","","","","non-western-fantasy, epic",No
The Ninth Rain,Jen Williams,"",9781472235176,paperback,"","","","","","","","","","","","","","","","",monster-hunting,No
Sea of Rust,C. Robert Cargill,"",9781473212787,paperback,"","","","","","","","","","","","","","","","",post-apocalyptic,No
The Ember Blade,Chris Wooding,"",9781473214842,hardcover,"","","","","","","","","","","","","","","","","self-pub, heist, epic",Yes
Million Dollar Demon,Kim Harrison,"",9780593101445,hardcover,"","","","","","","","","","","","","","","","",urban-fantasy,No
Babel,R.F. Kuang,"",9780008501815,hardcover,"","","","","","","","","","","","","","","","",magic-school,No
The Mask of Mirrors,M.A. Carrick,"",9780356515175,paperback,"","","","","","","","","","","","","","","","",political-intrigue,No
The Nothing That Is,Kyle Winkler,"",9798722044952,paperback,"","","","","","","","","","","","","","","","",cosmic-horror,No
Voice of War,Zack Argyle,"",9781734601114,paperback,"","","","","","","","","","","","","","","","",self-pub,Yes
Firefall,Peter Watts,"",B00KFDQXD0,digital,"","","","","","","","","","","","","","","","",first-contact,No
Ship of Magic,Robin Hobb,"",9780006498858,paperback,"","","","","","","","","","","","","","","","",sailing,No
Fated,Benedict Jacka,"",9781937007294,paperback,"","","","","","","","","","","","","","","","",urban-fantasy,No
Whispers of the Storm,Z.B. Steele,"",B0DPLWZC48,digital,"","","","","","","","","","","","","","","","",self-pub,No
Kraken Rider Z,"Dyrk Ashton, David Estes","",B0CM57D2BP,digital,"","","","","","","","","","","","","","","","","self-pub, progression-fantasy",No
Snow Crash,Neal Stephenson,"",9780553351927,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Mona Lisa Overdrive,William Gibson,"",9780553281743,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
Iron Truth,S.A. Tholin,"",B07BJNM59W,digital,"","","","","","","","","","","","","","","","",self-pub,No
A Song for the Void,Andrew C. Piazza,"",B08D59S9HR,digital,"","","","","","","","","","","","","","","","","self-pub, cosmic-horror",No
Magic Bites,Ilona Andrews,"",9781429569835,digital,"","","","","","","","","","","","","","","","",urban-fantasy,No
City of Last Chances,Adrian Tchaikovsky,"",9781801108447,paperback,"","","","","","","","","","","","","","","","","heist, urban-fantasy, political-intrigue",No
Deathless Beast,Andrew D. Meredith,"",9781088058114,paperback,"","","","","","","","","","","","","","","","",self-pub,No
Pattern Recognition,William Gibson,"",9780425198681,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
The Helm of Midnight,Marina J. Lostetter,"",9781250757050,hardcover,"","","","","","","","","","","","","","","","","heist, urban-fantasy",No
Red Mars,Kim Stanley Robinson,"",9780553560732,paperback,"","","","","","","","","","","","","","","","","competence, near-future",No
Shadows Upon Time,Christopher Ruocchio,"",9780756420017,digital,"","","","","","","","","","","","","","","","",space-opera,No
Untethered Sky,Fonda Lee,"",9781250842466,hardcover,"","","","","","","","","","","","","","","","",non-western-fantasy,No
The Whisper that Replaced God,Timothy Wolff,"",B0D8XS2Z6D,digital,"","","","","","","","","","","","","","","","","self-pub, cosmic-horror",No
Recursion,Blake Crouch,"",9781524759780,hardcover,"","","","","","","","","","","","","","","","",time-travel,Yes
Paternus: Rise of Gods,Dyrk Ashton,"",B01CXPD8T4,digital,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",Yes
A Bird Among Wolves ,Tracy Leonard Nakatani,"","",digital,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",No
Seeds of War,João F. Silva,"",9781739365608,paperback,"","","","","","","","","","","","","","","","","self-pub, military",No
The Peacekeeper,B.L. Blanchard,"",9781542036511,paperback,"","","","","","","","","","","","","","","","",mystery,No
The Crimson Court,Brendan Noble,"","",digital,"","","","","","","","","","","","","","","","","self-pub, monster-hunting",No
20th Century Men,Deniz Camp,"Deniz Camp (Illustrator), S. Morian (Illustrator)",9781534324541,paperback,"","","","","","","","","","","","","","","","",post-apocalyptic,No
Day Zero,C. Robert Cargill,"",9780062405821,digital,"","","","","","","","","","","","","","","","",post-apocalyptic,No
Guns of the Dawn,Adrian Tchaikovsky,"",9781447272670,hardcover,"","","","","","","","","","","","","","","","",military,No
"Blame!, Vol. 1",Tsutomu Nihei,"",9781595328342,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
The City of Brass,Shannon Chakraborty,"",9780062678102,hardcover,"","","","","","","","","","","","","","","","",non-western-fantasy,No
Stormblood,Jeremy Szal,"",9781473227415,hardcover,"","","","","","","","","","","","","","","","","military, cyberpunk",No
The Dog Stars,Peter Heller,"",9780307959942,hardcover,"","","","","","","","","","","","","","","","","post-apocalyptic, survival",No
Gardens of the Moon,Steven Erikson,"",,paperback,"","","","","","","","","","","","","","","","",epic,No
Cryptonomicon,Neal Stephenson,"",0060512806,paperback,"","","","","","","","","","","","","","","","",competence,No
Ascendant,Michael R. Miller,"",9781913695040,paperback,"","","","","","","","","","","","","","","","","self-pub, dragon-rider",No
Our Lady of the Artilects,Andrew Gillsmith,"",9798819594711,paperback,"","","","","","","","","","","","","","","","","self-pub, near-future",No
Sandman Slim,Richard Kadrey,"",9780061714306,hardcover,"","","","","","","","","","","","","","","","",urban-fantasy,No
Daemon,Daniel Suarez,"",9780451228734,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
The Automaton,Ian Young,"",9798986671000,digital,"","","","","","","","","","","","","","","","","self-pub, post-apocalyptic",No
The Last Shield,Cameron Johnston,"",9781915998033,paperback,"","","","","","","","","","","","","","","","",heist,No
Cat's Cradle,Kurt Vonnegut,"",9780385333481,paperback,"","","","","","","","","","","","","","","","",near-future,Yes
Delta-V,Daniel Suarez,"",9781524742416,hardcover,"","","","","","","","","","","","","","","","",survival,No
"Eden: It's an Endless World, Vol. 1",Hiroki Endo,"",9781593074067,paperback,"","","","","","","","","","","","","","","","",cyberpunk,No
All You Need Is Kill,Hiroshi Sakurazaka,Alexander O. Smith (Translator),9781421527611,paperback,"","","","","","","","","","","","","","","","","military, time-travel",No
The Pariah,Anthony Ryan,"",9780316430760,paperback,"","","","","","","","","","","","","","","","",epic,No
The Lies of Locke Lamora,Scott Lynch,"",9780553588941,paperback,"","","","","","","","","","","","","","","","",heist,No
The Ferryman,Justin Cronin,"",9780525619475,hardcover,"","","","","","","","","","","","","","","","",post-apocalyptic,No
Mercy: Tears of the Fallen,Chance Dillon,"",9798218665876,digital,"","","","","","","","","","","","","","","","",self-pub,No
Foundryside,Robert Jackson Bennett,"",9781524760366,hardcover,"","","","","","","","","","","","","","","","","heist, urban-fantasy",Yes
Aching God,Mike Shel,"",9781985746152,paperback,"","","","","","","","","","","","","","","","",monster-hunting,No
The Sound of Starfall,Scott Palmer,"","",digital,"","","","","","","","","","","","","","","","",self-pub,No
Seveneves,Neal Stephenson,"",9780062190376,hardcover,"","","","","","","","","","","","","","","","",competence,Yes
Small Miracles,Olivia Atwater,"",9781777688066,digital,"","","","","","","","","","","","","","","","",self-pub,No
Leviathan Wakes,James S.A. Corey,"",9781841495,paperback,"","","","","","","","","","","","","","","","","space-opera, first-contact",Yes
Warcross,Marie Lu,"",9780399547966,hardcover,"","","","","","","","","","","","","","","","",cyberpunk,No
"Prisoners of the Castle: An Epic Story of Survival and Escape from Colditz, the Nazis' Fortress Prison",Ben Macintyre,"",9780593136331,hardcover,"","","","","","","","","","","","","","","","",survival,No
Illborn,Daniel T. Jackson,"",9781800462823,paperback,"","","","","","","","","","","","","","","","",epic,No
Last Train to Istanbul,Ayşe Kulin,John W. Baker (Translator),B00BJ8YD78,digital,"","","","","","","","","","","","","","","","","",Yes
"Cthulhu, Private Investigator",Dennis Liggio,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Histaff,Andries Louws,"",,,"","","","","","","","","","","","","","","","","",Yes
Foundling Wizard,James A. Eggebeen,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Poppy War,R.F. Kuang,"",9780062662590,digital,"","","","","","","","","","","","","","","","","",Yes
Ship of Smoke and Steel,Django Wexler,"",9780765397263,digital,"","","","","","","","","","","","","","","","","",Yes
Tallrock: A Fantasy LitRPG Adventure,Xander Boyce,"",9781950914944,paperback,"","","","","","","","","","","","","","","","","",Yes
A Threat of Shadows,J.A. Andrews,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Nightsworn,Casey White,"","",,"","","","","","","","","","","","","","","","","",Yes
The Black Prism,Brent Weeks,"",,,"","","","","","","","","","","","","","","","","",Yes
Mythian,John L. Monk,"",,,"","","","","","","","","","","","","","","","","",Yes
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"",9780307907035,digital,"","","","","","","","","","","","","","","","","",Yes
Ranger's Oath,Blake Arthur Peel,"",,hardcover,"","","","","","","","","","","","","","","","","",Yes
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,"",9781984826787,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Color of Magic,Terry Pratchett,"",9780060855925,paperback,"","","","","","","","","","","","","","","","","",Yes
Wraithblade,S.M. Boyce,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Weird Theology,Alex Raizman,"",,,"","","","","","","","","","","","","","","","","",Yes
Chaos Rising,Timothy Zahn,"",9780593157688,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Dragon Keeper,Robin Hobb,"",9780007273744,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Glass Dagger,M.D. Presley,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Cold From The North,D.W. Ross,"",B08NGPZLHY,digital,"","","","","","","","","","","","","","","","","",Yes
Silvertongue,Casey White,"",B07NTR9YY4,digital,"","","","","","","","","","","","","","","","","",Yes
The Forever War,Joe Haldeman,"",9780060510862,paperback,"","","","","","","","","","","","","","","","","",Yes
Neverwhere,Neil Gaiman,"",9780060557812,paperback,"","","","","","","","","","","","","","","","","",Yes
Alliances,Timothy Zahn,"",9781984817617,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,"","","","","","","","","","","","","","","","","",Yes
Paternus: Wrath of Gods,Dyrk Ashton,"",,,"","","","","","","","","","","","","","","","","",Yes
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"",9781400052172,hardcover,"","","","","","","","","","","","","","","","","",Yes
How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,"",9780525537106,digital,"","","","","","","","","","","","","","","","","",Yes
Senlin Ascends,Josiah Bancroft,"",9780356510811,paperback,"","","","","","","","","","","","","","","","","",Yes
The Naturalist,Andrew Mayne,"",B01N1UN91W,digital,"","","","","","","","","","","","","","","","","",Yes
"The Book of Lost Tales, Part One","J.R.R. Tolkien, Christopher Tolkien","","",paperback,"","","","","","","","","","","","","","","","","",Yes
The Broken Kingdoms,N.K. Jemisin,"",9780316043960,paperback,"","","","","","","","","","","","","","","","","",Yes
Packing for Mars,Mary Roach,"",9780393068474,hardcover,"","","","","","","","","","","","","","","","","",Yes
Crimson Alliance,James A. Hunter,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Dispel Illusion,Mark Lawrence,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Jewel of the Endless Erg,John Bierce,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Mercenary,Catherine Banks,"",9781946301079,paperback,"","","","","","","","","","","","","","","","","",Yes
Ascendant,Casey White,"","",,"","","","","","","","","","","","","","","","","",Yes
The Written,Ben Galley,"",9780956770028,digital,"","","","","","","","","","","","","","","","","",Yes
Unsouled,Will Wight,"",B01H1CYBS6,digital,"","","","","","","","","","","","","","","","","",Yes
Identity Revealed,J.M. Butler,"",194860101X,digital,"","","","","","","","","","","","","","","","","",Yes
Street Cultivation,Sarah Lin,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Into the Light,Christopher Johns,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Web of Eyes,"Jaime Castle, Rhett C. Bruno","",B07JZGPLWG,digital,"","","","","","","","","","","","","","","","","",Yes
Manic Monday,Dennis Liggio,"",,,"","","","","","","","","","","","","","","","","",Yes
Son of a Liche,J. Zachary Pike,"",9781943363681,paperback,"","","","","","","","","","","","","","","","","",Yes
The History of Middle-earth Index,J.R.R. Tolkien,Christopher Tolkien,9780007365371,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Eight,Katherine Neville,"",9780345366238,paperback,"","","","","","","","","","","","","","","","","",Yes
Anansi Boys,Neil Gaiman,"",9780060515195,paperback,"","","","","","","","","","","","","","","","","",Yes
Uncrowned,Will Wight,"",B07X8ZH6BS,digital,"","","","","","","","","","","","","","","","","",Yes
The Kingdom of Gods,N.K. Jemisin,"",9781841498195,paperback,"","","","","","","","","","","","","","","","","",Yes
The King's Ranger,A.C. Cobble,"",,digital,"","","","","","","","","","","","","","","","","",Yes
This Is Your Brain on Music: The Science of a Human Obsession ,Daniel J. Levitin,"",9781101218914,digital,"","","","","","","","","","","","","","","","","",Yes
A Drink Before the War,Dennis Lehane,"",9780156029025,paperback,"","","","","","","","","","","","","","","","","",Yes
Realm of Beasts,Angela J. Ford,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Six of Crows,Leigh Bardugo,"",9781627795227,digital,"","","","","","","","","","","","","","","","","",Yes
The Imbued Lockblade,M.D. Presley,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Dungeon Born,Dakota Krout,"","",,"","","","","","","","","","","","","","","","","",Yes
The Guest List,Lucy Foley,"",9780062868930,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,"",9780241380376,paperback,"","","","","","","","","","","","","","","","","",Yes
A Darker Shade of Magic,V.E. Schwab,"",9780765376459,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Burning God,R.F. Kuang,"",9780008339142,hardcover,"","","","","","","","","","","","","","","","","",Yes
Red Country,Joe Abercrombie,"",9780316187213,hardcover,"","","","","","","","","","","","","","","","","",Yes
Something,Dakota Krout,"",B08GPP5KN1,digital,"","","","","","","","","","","","","","","","","",Yes
Fool's Assassin,Robin Hobb,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
The Gate Beyond Oblivion,Ryan Kirk,"",9781732572973,paperback,"","","","","","","","","","","","","","","","","",Yes
The Yoga of Strength,Andrew Marc Rowe,"",,,"","","","","","","","","","","","","","","","","",Yes
Tribute at the Gates: An Epic Fantasy Saga (Catalyst Book 1),C.J. Aaron,"",,,"","","","","","","","","","","","","","","","","",Yes
The Book of Dragons,Jonathan Strahan,"",9780062877161,hardcover,"","","","","","","","","","","","","","","","","",Yes
Battle Spire,Michael R. Miller,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Complete Sherlock Holmes,"Arthur Conan Doyle, Robert Ryan","","",,"","","","","","","","","","","","","","","","","",Yes
City of Light,Will Wight,"",,,"","","","","","","","","","","","","","","","","",Yes
Beer Tasting Quick Reference Guide,Jeff Alworth,"",978145211395,digital,"","","","","","","","","","","","","","","","","",Yes
"The Return of the Shadow: The History of The Lord of the Rings, Part One","J.R.R. Tolkien, Christopher Tolkien","",061808357X,paperback,"","","","","","","","","","","","","","","","","",Yes
Mageblood,Christopher Johns,"",,,"","","","","","","","","","","","","","","","","",Yes
The Fall of Gondolin,J.R.R. Tolkien,"Alan Lee (Illustrator), Christopher Tolkien (Contributor)",9781328613042,hardcover,"","","","","","","","","","","","","","","","","",Yes
Charred,Casey White,"","",,"","","","","","","","","","","","","","","","","",Yes
Smoke & Summons,Charlie N. Holmberg,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
Axiom,"Dakota Krout, Dennis Vanderkerken","",B07ZXLHMHK,digital,"","","","","","","","","","","","","","","","","",Yes
Last Chance to See,"Douglas Adams, Mark Carwardine","","",paperback,"","","","","","","","","","","","","","","","","",Yes
The Crimson Queen,Alec Hutson,"",B01MRTK9NF,digital,"","","","","","","","","","","","","","","","","",Yes
Grayhold,Troy Osgood,"",,,"","","","","","","","","","","","","","","","","",Yes
Blackflame,Will Wight,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Siphon,Jay Boyce,"",B07HFGBXFV,digital,"","","","","","","","","","","","","","","","","",Yes
Shields in Shadow,Andy Peloquin,"","",digital,"","","","","","","","","","","","","","","","","",Yes
What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780525537113,hardcover,"","","","","","","","","","","","","","","","","",Yes
Life at the End of the Road,Rey S. Morfin,"",,,"","","","","","","","","","","","","","","","","",Yes
Party Hard,David Petrie,"",9781724110282,paperback,"","","","","","","","","","","","","","","","","",Yes
A Sellsword's Compassion,Jacob Peppers,"",9781549965555,paperback,"","","","","","","","","","","","","","","","","",Yes
The Way of Shadows,Brent Weeks,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
Whisky: The Manual,Dave Broom,"",9781845337551,hardcover,"","","","","","","","","","","","","","","","","",Yes
Dead God's Due,Matthew P. Gilbert,"",,,"","","","","","","","","","","","","","","","","",Yes
Hyperion,Dan Simmons,"",0553283685,paperback,"","","","","","","","","","","","","","","","","",Yes
The War of the Ring,"J.R.R. Tolkien, Christopher Tolkien","","",,"","","","","","","","","","","","","","","","","",Yes
Clovir: An Overture,Andrew Marc Rowe,"",,,"","","","","","","","","","","","","","","","","",Yes
Benjamin Ashwood,A.C. Cobble,"",9781947683006,paperback,"","","","","","","","","","","","","","","","","",Yes
Soulsmith,Will Wight,"",B01M09PWJQ,digital,"","","","","","","","","","","","","","","","","",Yes
The War of the Ring,"J.R.R. Tolkien, Christopher Tolkien","","",paperback,"","","","","","","","","","","","","","","","","",Yes
Skysworn,Will Wight,"",9781959001010,paperback,"","","","","","","","","","","","","","","","","",Yes
"Sauron Defeated: The History of The Lord of the Rings, Part Four","J.R.R. Tolkien, Christopher Tolkien","","",,"","","","","","","","","","","","","","","","","",Yes
Arkton At High Noon,Francis James Blair,"",,digital,"","","","","","","","","","","","","","","","","",Yes
As I Was on My Way to Strawberry Fair,Raymond St. Elmo,"",,,"","","","","","","","","","","","","","","","","",Yes
Shadow and Bone,Leigh Bardugo,"",9781250027436,paperback,"","","","","","","","","","","","","","","","","",Yes
Thorn of the Night Blossoms: A Legends of Tivara Story,J.C. Kang,"",B08K7LKHJ3,digital,"","","","","","","","","","","","","","","","","",Yes
God of Gnomes,Demi Harper,"",9781999666057,paperback,"","","","","","","","","","","","","","","","","",Yes
Advent,Xander Boyce,"",B07HMLK6JP,digital,"","","","","","","","","","","","","","","","","",Yes
Quill,A.C. Cobble,"",B07QK7LJR9,digital,"","","","","","","","","","","","","","","","","",Yes
Mythos: The Greek Myths Retold,Stephen Fry,"",9780718188726,hardcover,"","","","","","","","","","","","","","","","","",Yes
House of Blades,Will Wight,"",,,"","","","","","","","","","","","","","","","","",Yes
Unknown Horizons,Casey White,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Beneath the Fallen City,Jamie A. Waters,"",B07DNPSF1V,digital,"","","","","","","","","","","","","","","","","",Yes
Paternus: War of Gods,Dyrk Ashton,"","",,"","","","","","","","","","","","","","","","","",Yes
The War of the Worlds,H.G. Wells,"",9780375759239,paperback,"","","","","","","","","","","","","","","","","",Yes
The Magicians,Lev Grossman,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
A Wizard's Guide to Defensive Baking,T. Kingfisher,"",9781614505242,paperback,"","","","","","","","","","","","","","","","","",Yes
Morgoth's Ring,"J.R.R. Tolkien, Christopher Tolkien","",,,"","","","","","","","","","","","","","","","","",Yes
Season One: A Survival LitRPG Battle Royale (Bloodgames Book 1),Christian J. Gilliland,"",,,"","","","","","","","","","","","","","","","","",Yes
Chaos: Making a New Science ,James Gleick,"",9780140092509,paperback,"","","","","","","","","","","","","","","","","",Yes
Of Dawn and Darkness,Will Wight,"",B01915038I,digital,"","","","","","","","","","","","","","","","","",Yes
One Woke Up,Lee Gaiteri,"",,,"","","","","","","","","","","","","","","","","",Yes
Underlord,Will Wight,"",B07NJ3B6HN,digital,"","","","","","","","","","","","","","","","","",Yes
Sanyare: The Last Descendant,Megan Haskell,"",9780986408328,paperback,"","","","","","","","","","","","","","","","","",Yes
Shadows of Ivory,"Bryce O'Connor, T.L. Greylock","",9780999192023,paperback,"","","","","","","","","","","","","","","","","",Yes
Of Darkness and Dawn,Will Wight,"",B013Q4KQZA,digital,"","","","","","","","","","","","","","","","","",Yes
Ghostwater,Will Wight,"",9781959001027,paperback,"","","","","","","","","","","","","","","","","",Yes
The Jade Lord,James A. Hunter,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Silver Sorceress,Alec Hutson,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Combat Codes,Alexander Darwin,"",9781517765064,paperback,"","","","","","","","","","","","","","","","","",Yes
Dungeons of Strata,G.D. Penman,"","",,"","","","","","","","","","","","","","","","","",Yes
Sharp Ends,Joe Abercrombie,"",,,"","","","","","","","","","","","","","","","","",Yes
